VERSION,CAMERA_NUMBER,VIDEO_NAME,FRAMENUMBER,CLASS,SCORE_CLASS,X1_ORGAN,Y1_ORGAN,X2_ORGAN,Y2_ORGAN,AREA_CLASS,FEATURE,SCORE_FEATURE,AREA_FEATURE
2023-06-05,CAM7,CAM7_20220203_092129.avi,115,Tail,0.94,846.0,1053.0,958.0,1187.0,15008.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,116,Tail,0.96,843.0,1053.0,961.0,1184.0,15458.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,117,Tail,0.96,837.0,1052.0,965.0,1178.0,16128.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,118,Tail,0.96,836.0,1049.0,965.0,1172.0,15867.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,119,Tail,0.95,834.0,1048.0,967.0,1166.0,15694.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,120,Tail,0.93,836.0,1047.0,974.0,1161.0,15732.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,121,Tail,0.92,840.0,1048.0,981.0,1156.0,15228.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,122,Tail,0.96,848.0,1046.0,983.0,1152.0,14310.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,123,Tail,0.92,856.0,1046.0,991.0,1152.0,14310.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,124,Tail,0.93,864.0,1044.0,1000.0,1157.0,15368.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,125,Tail,0.87,875.0,1051.0,1015.0,1167.0,16240.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,126,Tail,0.96,892.0,1054.0,1028.0,1175.0,16456.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,127,Tail,0.96,904.0,1055.0,1037.0,1188.0,17689.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,128,Tail,0.93,922.0,1062.0,1042.0,1195.0,15960.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,129,Tail,0.71,946.0,1079.0,1044.0,1200.0,11858.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,130,Tail,0.74,965.0,1086.0,1053.0,1206.0,10560.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,131,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,132,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,133,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
